OBJECTID_1,OBJECTID,Id,GridID,Total,Shape__Area,Shape__Length
1138,2878,0,2878,3,6969599.8380127,10559.9998773336
1139,3029,0,3029,3,6969599.8380127,10559.9998773336
1140,2104,0,2104,2,6969599.8380127,10559.9998773336
1141,854,0,854,3,6969599.8380127,10559.9998773336
1142,890,0,890,1,6969599.8380127,10559.9998773336
1143,3555,0,3555,0,6969600.70422363,10560.0005334914
1144,441,0,441,4,6969599.83813477,10559.9998773336
1145,1839,0,1839,3,6969599.83813477,10559.9998773336
1146,2169,0,2169,2,6969600.70410156,10560.0005335212
1147,1903,0,1903,3,6969599.8380127,10559.9998773336
1148,1495,0,1495,4,6969599.8380127,10559.9998773336
1149,1384,0,1384,4,6969599.83813477,10559.9998773336
1150,2592,0,2592,2,6969599.8380127,10559.9998773336
1151,3744,0,3744,4,6969599.8380127,10559.9998773336
1152,1666,0,1666,1,6969599.8380127,10559.9998773336
1153,1643,0,1643,4,6969599.83813477,10559.9998773336
1154,2514,0,2514,4,6969599.8380127,10559.9998773336
1155,2109,0,2109,2,6969599.83813477,10559.9998773336
1156,1792,0,1792,3,6969599.83813477,10559.9998773336
1157,1607,0,1607,4,6969599.83813477,10559.9998773336
1158,3270,0,3270,4,6969599.83813477,10559.9998773336
1159,1124,0,1124,3,6969599.8380127,10559.9998773336
1160,2095,0,2095,3,6969599.8380127,10559.9998773336
1161,2652,0,2652,3,6969599.83813477,10559.9998773336
1162,2409,0,2409,2,6969599.8380127,10559.9998773336
1163,3913,0,3913,4,6969600.70422363,10560.0005335212
1164,1947,0,1947,1,6969599.83813477,10559.9998773336
1165,3786,0,3786,2,6969599.8380127,10559.9998773336
1166,1182,0,1182,3,6969599.83813477,10559.9998773336
1167,3562,0,3562,3,6969599.8380127,10559.9998773336
1168,1778,0,1778,2,6969600.70422363,10560.0005334914
1169,1520,0,1520,1,6969600.70422363,10560.0005334914
1170,2233,0,2233,2,6969599.8380127,10559.9998773336
1171,1353,0,1353,2,6969599.8380127,10559.9998773336
1172,1002,0,1002,0,6969599.83813477,10559.9998773336
1173,1661,0,1661,3,6969599.83813477,10559.9998773336
1174,1877,0,1877,3,6969599.8380127,10559.9998773336
1175,1950,0,1950,3,6969599.83813477,10559.9998773336
1176,1117,0,1117,2,6969599.83813477,10559.9998773336
1177,824,0,824,2,6969599.8380127,10559.9998773336
1178,2819,0,2819,4,6969600.7043457,10560.0005334914
1179,381,0,381,4,6969599.8380127,10559.9998773336
1180,1898,0,1898,5,6969599.83825684,10559.9998773336
1181,2992,0,2992,5,6969599.83813477,10559.9998773336
1182,3792,0,3792,2,6969599.83813477,10559.9998773336
1183,967,0,967,2,6969600.70422363,10560.0005334914
1184,2362,0,2362,4,6969599.83825684,10559.9998773336
1185,2220,0,2220,2,6969599.83813477,10559.9998773336
1186,3505,0,3505,2,6969599.83813477,10559.9998773336
1187,2056,0,2056,1,6969599.83813477,10559.9998773336
1188,1439,0,1439,4,6969599.8380127,10559.9998773336
1189,2866,0,2866,3,6969599.83813477,10559.9998773336
1190,1816,0,1816,2,6969599.83813477,10559.9998773336
1191,2105,0,2105,0,6969600.70422363,10560.0005334914
1192,2623,0,2623,2,6969599.83813477,10559.9998773336
1193,1996,0,1996,1,6969599.83813477,10559.9998773336
1194,2410,0,2410,5,6969599.8380127,10559.9998773336
1195,3283,0,3283,4,6969599.83813477,10559.9998773336
1196,2020,0,2020,4,6969599.8380127,10559.9998773336
1197,3506,0,3506,3,6969599.8380127,10559.9998773336
1198,991,0,991,5,6969599.8380127,10559.9998773336
1199,2055,0,2055,2,6969599.83813477,10559.9998773336
1200,1524,0,1524,0,6969600.70410156,10560.0005334914
1201,1249,0,1249,5,6969599.83789063,10559.9998773336
1202,2360,0,2360,5,6969599.8380127,10559.9998773336
1203,1691,0,1691,5,6969599.83813477,10559.9998773336
1204,2042,0,2042,4,6969599.83813477,10559.9998773336
1205,2153,0,2153,3,6969600.7043457,10560.0005335212
1206,1180,0,1180,0,6969599.8380127,10559.9998773336
1207,3501,0,3501,3,6969599.83813477,10559.9998773336
1208,2578,0,2578,2,6969599.83825684,10559.9998773336
1209,1471,0,1471,2,6969599.8380127,10559.9998773336
1210,1083,0,1083,3,6969599.8380127,10559.9998773336
1211,3105,0,3105,5,6969599.83813477,10559.9998773336
1212,2046,0,2046,5,6969599.83813477,10559.9998773336
1213,3088,0,3088,4,6969599.8380127,10559.9998773336
1214,2181,0,2181,3,6969600.7043457,10560.0005335212
1215,581,0,581,2,6969599.83813477,10559.9998773336
1216,3500,0,3500,3,6969599.8380127,10559.9998773336
1217,1031,0,1031,5,6969599.8380127,10559.9998773336
1218,2815,0,2815,3,6969600.70422363,10560.0005334914
1219,3379,0,3379,4,6969600.70422363,10560.0005334914
1220,1783,0,1783,4,6969599.8380127,10559.9998773336
